entite_privee,label,type,uri_wikidata,wd_label,score_confiance,statut
:KathleenReady,Kathleen Ready,Athlete,http://www.wikidata.org/entity/Q122893802,,0.85,alignée (CSV)
:KatiaColturi,Katia Colturi,Athlete,http://www.wikidata.org/entity/Q45369895,,0.85,alignée (CSV)
:KatiaFilippi,Katia Filippi,Athlete,http://www.wikidata.org/entity/Q81902889,,0.85,alignée (CSV)
:KayHuisman,Kay Huisman,Athlete,http://www.wikidata.org/entity/Q57549830,,0.85,alignée (CSV)
:KazukiYoshinaga,Kazuki Yoshinaga,Athlete,http://www.wikidata.org/entity/Q44700607,,0.85,alignée (CSV)
:KendylSeverino,Kendyl Severino,Athlete,http://www.wikidata.org/entity/Q122893810,,0.85,alignée (CSV)
:KeriMorrison,Keri Morrison,Athlete,http://www.wikidata.org/entity/Q47507696,,0.85,alignée (CSV)
:KimiGoetz,Kimi Goetz,Athlete,http://www.wikidata.org/entity/Q80760501,,0.85,alignée (CSV)
:KristenSantos-griswold,Kristen Santos-Griswold,Athlete,http://www.wikidata.org/entity/Q58368749,,0.85,alignée (CSV)
:KristineBechHolte,Kristine Bech Holte,Athlete,http://www.wikidata.org/entity/Q122893819,,0.85,alignée (CSV)
:KylianMbappe,KylianMbappe,Athlete,http://www.wikidata.org/entity/Q180617,wd:Q180617,0.99,alignée
:KylianMbappé,Kylian Mbappé,Athlete,http://www.wikidata.org/entity/Q180617,,0.85,alignée (CSV)
:KārlisKrūzbergs,Kārlis Krūzbergs,Athlete,http://www.wikidata.org/entity/Q133837878,,0.85,alignée (CSV)
:LeBronJames,LeBronJames,Athlete,http://www.wikidata.org/entity/Q192616,wd:Q192616,0.99,alignée
:LionelMessi,LionelMessi,Athlete,http://www.wikidata.org/entity/Q615,wd:Q615,0.99,alignée
:LisaEckstein,Lisa Eckstein,Athlete,http://www.wikidata.org/entity/Q57609547,,0.85,alignée (CSV)
:MaWei,Ma Wei,Athlete,http://www.wikidata.org/entity/Q133837523,,0.85,alignée (CSV)
:MandyHorsepool,Mandy Horsepool,Athlete,http://www.wikidata.org/entity/Q47530979,,0.85,alignée (CSV)
:MarcinKamiński,Marcin Kamiński,Athlete,http://www.wikidata.org/entity/Q138608761,,0.85,alignée (CSV)
:MarionCharlier,Marion Charlier,Athlete,http://www.wikidata.org/entity/Q122893814,,0.85,alignée (CSV)
:MariuszBrzeziak,Mariusz Brzeziak,Athlete,http://www.wikidata.org/entity/Q138608814,,0.85,alignée (CSV)
:MartiniusElvebakken,Martinius Elvebakken,Athlete,http://www.wikidata.org/entity/Q133850792,,0.85,alignée (CSV)
:MashaKabanova,Masha Kabanova,Athlete,http://www.wikidata.org/entity/Q122893820,,0.85,alignée (CSV)
:MelleVan'tWout,Melle van 't Wout,Athlete,http://www.wikidata.org/entity/Q57540714,,0.85,alignée (CSV)
:MichaelJordan,Michael Jordan,Athlete,http://www.wikidata.org/entity/Q168523,wd:Q168523,0.99,alignée
:MichaelPhelps,MichaelPhelps,Athlete,http://www.wikidata.org/entity/Q83868,wd:Q83868,0.99,alignée
:MichelleVelzeboer,Michelle Velzeboer,Athlete,http://www.wikidata.org/entity/Q81907900,,0.85,alignée (CSV)
:MoFarah,MoFarah,Athlete,http://www.wikidata.org/entity/Q220109,wd:Q220109,0.99,alignée
:MoritzKreuseler,Moritz Kreuseler,Athlete,http://www.wikidata.org/entity/Q133850543,,0.85,alignée (CSV)
:MuhammadAli,Muhammad Ali,Athlete,http://www.wikidata.org/entity/Q1254,,0.85,alignée (CSV)
:NadiaComaneci,Nadia Comaneci,Athlete,http://www.wikidata.org/entity/Q12823,,0.85,alignée (CSV)
:NatalieAckerman,Natalie Ackerman,Athlete,http://www.wikidata.org/entity/Q122893817,,0.85,alignée (CSV)
:NiallTreacy,Niall Treacy,Athlete,http://www.wikidata.org/entity/Q58379404,,0.85,alignée (CSV)
:NielsKingma,Niels Kingma,Athlete,http://www.wikidata.org/entity/Q57541851,,0.85,alignée (CSV)
:NikolaMazur,Nikola Mazur,Athlete,http://www.wikidata.org/entity/Q58366935,,0.85,alignée (CSV)
:NovakDjokovic,NovakDjokovic,Athlete,http://www.wikidata.org/entity/Q149985,wd:Q149985,0.99,alignée
:OdinByFarstad,Odin By Farstad,Athlete,http://www.wikidata.org/entity/Q52206730,,0.85,alignée (CSV)
:PascalDion,Pascal Dion,Athlete,http://www.wikidata.org/entity/Q43388742,,0.85,alignée (CSV)
:PatDurnin,Pat Durnin,Athlete,http://www.wikidata.org/entity/Q47531095,,0.85,alignée (CSV)
:PavelSitnikov,Pavel Sitnikov,Athlete,http://www.wikidata.org/entity/Q48333077,,0.85,alignée (CSV)
:PearlyLeung,Pearly Leung,Athlete,http://www.wikidata.org/entity/Q122893809,,0.85,alignée (CSV)
:Pelé,Pelé,Athlete,http://www.wikidata.org/entity/Q36819,,0.85,alignée (CSV)
:PetraVaňková,Petra Vaňková,Athlete,http://www.wikidata.org/entity/Q58369073,,0.85,alignée (CSV)
:PéterJászapáti,Péter Jászapáti,Athlete,http://www.wikidata.org/entity/Q81903928,,0.85,alignée (CSV)
