entite_privee,label,type,uri_wikidata,wd_label,score_confiance,statut
:FIFAWorldCup2014,FIFAWorldCup2014,Competition,http://www.wikidata.org/entity/Q20149,wd:Q20149,0.99,alignée
:OlympicsAthens2004,OlympicsAthens2004,Competition,—,—,—,nouvelle entité
:OlympicsTokyo2020,OlympicsTokyo2020,Competition,http://www.wikidata.org/entity/Q76543456,wd:Q76543456,0.96,alignée
:Wimbledon2012,Wimbledon2012,Competition,—,—,—,nouvelle entité
:FIFAWorldCup2018,FIFAWorldCup2018,Competition,http://www.wikidata.org/entity/Q38717,wd:Q38717,0.99,alignée
:FIFAWorldCup2022,FIFAWorldCup2022,Competition,http://www.wikidata.org/entity/Q20771,wd:Q20771,0.99,alignée
:OlympicsBeijing2008,OlympicsBeijing2008,Competition,http://www.wikidata.org/entity/Q8567,wd:Q8567,0.97,alignée
:OlympicsParis2024,OlympicsParis2024,Competition,http://www.wikidata.org/entity/Q193078,wd:Q193078,0.97,alignée
:OlympicsLondon2012,OlympicsLondon2012,Competition,http://www.wikidata.org/entity/Q8566,wd:Q8566,0.97,alignée
:OlympicsRioDeJaneiro2016,OlympicsRioDeJaneiro2016,Competition,http://www.wikidata.org/entity/Q8575,wd:Q8575,0.97,alignée
